rank,name,city,state,nearest_mosque,nearest_city,distance_mi
1,Islamic Center of Grand Junction (Two Rivers Mosque),Grand Junction,CO,Islamic Center of Golden,Golden,184.6
2,Queresha Mosque,Gillette,WY,Billings Islamic Center,Billings,180.8
3,Mosque MichiganTech,Houghton,MI,Wausau Mosque,Wausau,158.8
4,Missoula Islamic Society,Missoula,MT,Islamic Center of Moscow,Moscow,142.0
5,Laughlin Mosque,Laughlin AFB,TX,Muslim Center of San Antonio,Helotes,125.9
6,Masjid e Aamina (Econolodge),Abilene,TX,AZAD MASJID,Wichita Falls,125.4
7,Islamic Center of Bozeman,Bozeman,MT,Billings Islamic Center,Billings,125.1
8,Billings Islamic Center,Billings,MT,Islamic Center of Bozeman,Bozeman,125.1
9,Gallup Islamic Center,Gallup,NM,Minara Islamic Community Center,Albuquerque,120.7
10,Al-Tawheed Mosque,Talent,OR,Masjid,Arcata,113.9
